"Story","Title","Result","Date","Stability","Duration (s)"
"Select flights in travelocity","Selecting the cheapest flight one way the next week","SUCCESS","2021-04-12T15:46:53.44-05:00[America/Bogota]","0.0","306.03"
"Select flights in travelocity","Selecting the round trip","SUCCESS","2021-04-12T15:52:16.013-05:00[America/Bogota]","0.0","103.65"
"Search hotel travelocity page","Search hotel in a city in the travelocity page","SUCCESS","2021-04-12T15:54:11.079-05:00[America/Bogota]","0.0","96.59"
"Select things to do in travelocity page","Select things to do in a city","SUCCESS","2021-04-12T15:55:49.563-05:00[America/Bogota]","0.0","69.0"
"Search vacation rentals travelocity page","Search vacations rentals nera home in travelocity page","SUCCESS","2021-04-12T15:57:00.2-05:00[America/Bogota]","0.0","68.63"
