"Story","Title","Result","Date","Stability","Duration (s)"
"Select flights in travelocity","Selecting the cheapest flight one way the next week","SUCCESS","2021-04-12T15:46:53.44-05:00[America/Bogota]","0.0","306.03"
"Select flights in travelocity","Selecting the round trip","SUCCESS","2021-04-12T15:52:16.013-05:00[America/Bogota]","0.0","103.65"
